Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Moldova,MDA,3209.023537,..,5.365698129,13576.29474,26,38065861101,19.46438026,4.837783514,12.01311911,92.78220514,..,5.099999905
Monaco,MCO,..,..,6.123770179,..,..,..,5.029270172,..,..,19223.97632,..,..
Mongolia,MNG,3514.137809,..,3.802940082,13013.04724,..,37325149941,16.53417969,7.304815975,4.189333452,2.071054379,4,9.270000458
Montenegro,MNE,7433.625792,..,4.096236943,23072.58274,..,14513073433,..,0.361563705,15.38917207,46.24743494,2.5,15.13000011
Morocco,MAR,2729.843994,..,1.340393575,7865.262207,..,2.86E+11,15.46756077,0.303386037,7.300454771,81.72029128,4.4,..
Mozambique,MOZ,424.5817838,..,-0.616865368,1335.877014,..,39836384671,19.03367996,2.781106312,2.878446169,38.61497368,31.8,..
Myanmar,MMR,1229.623489,10.60023022,6.084612683,4939.747975,..,2.58E+11,10.56412983,8.825066968,6.0117046,82.80285277,2.5,0.409999996
Namibia,NAM,4107.521623,..,-2.758263063,10223.21253,..,24876280093,26.39039993,3.722394144,3.608054423,3.029945706,18.9,..
Nauru,NRU,..,..,-0.798959495,14096.62255,..,217914898.5,..,..,..,538.2,..,..
Nepal,NPL,1069.642309,..,4.744512715,4119.584979,..,1.19E+11,15.76000023,5.568685478,5.782567617,199.5724799,4.8,..
Netherlands,NLD,40640.40077,..,1.289889121,59004.32497,29.2,1.03E+12,..,2.633699102,19.60531972,515.1432729,2.5,3.380000114
